CRITERION,VALUE,N_USERS,N_TRAJECTORIES,N_POINTS
AGE_GROUP,25-34,42,924,396857
AGE_GROUP,35-44,40,932,356626
AGE_GROUP,18-24,35,791,294298
AGE_GROUP,45-54,34,863,348858
AGE_GROUP,65+,26,604,224620
AGE_GROUP,55-64,21,521,209860
DOMINANT_MODE,WALKING,91,2166,793181
DOMINANT_MODE,SUBWAY,55,1191,368690
DOMINANT_MODE,BIKE,20,519,258479
DOMINANT_MODE,ELECT_BIKE,11,258,112151
DOMINANT_MODE,TRAIN,7,136,53085
DRIVING_LICENCE,Yes,153,3650,1499702
DRIVING_LICENCE,No,45,1006,330286
NAVIGO_SUB,Yes,122,2841,976528
NAVIGO_SUB,No,66,1558,750534
NAVIGO_SUB,Unknown,12,302,119940
NB_CAR_GROUP,0 car,148,3425,1263103
NB_CAR_GROUP,1 car,46,1142,511089
SEX,Man,104,2433,1013177
SEX,Woman,96,2268,833825
